Datetaken,Longitude,Latitude,City,year
2011-04-09 06:05:53,-74.066873,4.6928220000000005,bogota,2011
2011-02-09 18:30:31,-74.066857,4.692887000000001,bogota,2011
2011-06-27 15:59:37,-74.070139,4.610947,bogota,2011
2011-01-01 18:12:40,-74.070328,4.610834,bogota,2011
2011-09-21 19:19:03,-74.04707900000001,4.791097,bogota,2011
2011-05-27 20:02:28,-74.07741999999999,4.594819,bogota,2011
2011-06-10 10:50:57,-74.089393,4.624164,bogota,2011
2011-05-20 15:38:18,-74.089393,4.62365,bogota,2011
2011-05-20 14:56:17,-74.093513,4.624334999999999,bogota,2011
2011-05-27 15:56:09,-74.083557,4.636675,bogota,2011
2011-06-10 21:56:08,-74.08340600000001,4.636462,bogota,2011
2011-06-23 15:22:24,-74.083642,4.6367400000000005,bogota,2011
2011-03-08 17:50:17,-74.083449,4.636173,bogota,2011
2011-08-25 00:23:35,-74.054889,4.669847,bogota,2011
2011-05-13 15:19:15,-74.054819,4.669811,bogota,2011
2011-06-03 17:15:20,-74.054819,4.669811,bogota,2011
2011-03-10 13:52:25,-74.054932,4.669929,bogota,2011
2011-07-08 13:49:31,-74.054338,4.669917,bogota,2011
2011-03-02 13:16:15,-74.056174,4.652821,bogota,2011
2011-05-01 11:59:39,-74.07244200000001,4.603633,bogota,2011
2011-12-27 16:29:02,-74.07266700000001,4.6043330000000005,bogota,2011
2011-03-04 18:22:47,-74.05068299999999,4.66018,bogota,2011
2011-06-17 17:09:51,-74.077634,4.5968290000000005,bogota,2011
2011-05-01 12:11:46,-74.07321400000001,4.601483,bogota,2011
2011-11-10 15:28:56,-74.073472,4.601257,bogota,2011
2011-04-23 19:52:32,-74.073257,4.600893,bogota,2011
2011-10-01 13:12:14,-74.048538,4.634258999999999,bogota,2011
2011-08-19 12:46:27,-74.143552,4.698996,bogota,2011
2011-06-26 17:18:58,-74.076197,4.597043,bogota,2011
2011-08-26 17:32:19,-74.096603,4.624848,bogota,2011
2011-05-14 19:10:23,-74.096603,4.624676999999999,bogota,2011
2011-05-31 16:12:42,-74.07034300000001,4.605,bogota,2011
2011-06-28 15:48:33,-74.069653,4.605086,bogota,2011
2011-06-10 10:52:07,-74.093856,4.627586,bogota,2011
2011-05-19 12:02:56,-74.09317,4.627757,bogota,2011
2011-05-20 14:55:48,-74.093856,4.627586,bogota,2011
2011-09-13 17:37:55,-74.109735,4.655539,bogota,2011
